Player Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,SOT%,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Final Third,Carries Pen Area,Passes to Pen Area,Crosses to Pen Area
Omari Hutchinson,Chelsea,eng ENG,FW,1,23,0,0,0,0,,,,,0,16,13,9,69.2,2,,,0,,,0,11,1,,1,0,0
Marc Guéhi,Crystal Palace,eng ENG,DF,37,3329,1,0,14,6,42.9,7.14,,,5,2557,2208,1883,85.3,0,,,148,,,3,1511,17,,0,5,0
Tyrick Mitchell,Crystal Palace,eng ENG,DF,36,2891,0,2,6,1,16.7,0.0,,,3,1899,1607,1152,71.7,70,,,90,,,0,827,23,,4,21,9
Joachim Andersen,Crystal Palace,dk DEN,DF,32,2782,1,0,22,9,40.9,4.55,,,9,2303,1972,1561,79.2,10,,,153,,,4,1318,16,,2,8,1
Cheick Doucouré,Crystal Palace,ml MLI,MF,34,2769,0,3,36,7,19.4,0.0,,,2,1577,1247,1038,83.2,6,,,110,,,3,761,18,,1,11,1
Michael Olise,Crystal Palace,fr FRA,"FW,MF",37,2749,2,11,51,14,27.5,3.92,,,2,1840,1420,985,69.4,242,,,72,,,4,1048,111,,38,53,16
Jordan Ayew,Crystal Palace,gh GHA,"FW,MF",38,2714,4,3,32,10,31.3,12.5,,,2,1327,875,676,77.3,43,,,34,,,5,801,83,,31,19,6
Eberechi Eze,Crystal Palace,eng ENG,"MF,FW",38,2636,10,4,70,25,35.7,14.29,,,10,1515,1178,923,78.4,78,,,88,,,11,889,69,,28,35,2
Jeffrey Schlupp,Crystal Palace,gh GHA,"MF,FW",34,2531,3,1,28,9,32.1,10.71,,,6,1193,900,665,73.9,16,,,59,,,3,602,32,,11,11,0
Vicente Guaita,Crystal Palace,es ESP,GK,27,2430,0,0,0,0,,,,,4,895,845,610,72.2,0,,,3,,,0,507,0,,0,0,0
Wilfried Zaha,Crystal Palace,ci CIV,"FW,MF",27,2288,7,2,64,21,32.8,10.94,,,2,1040,650,502,77.2,39,,,18,,,3,729,86,,59,41,3
Joel Ward,Crystal Palace,eng ENG,DF,28,2256,1,0,8,2,25.0,12.5,,,1,1469,1223,921,75.3,36,,,80,,,0,620,22,,1,11,6
Odsonne Édouard,Crystal Palace,fr FRA,FW,35,1803,5,2,39,15,38.5,12.82,,,2,672,412,295,71.6,4,,,9,,,1,354,29,,21,9,0
Nathaniel Clyne,Crystal Palace,eng ENG,DF,22,1640,0,0,0,0,,,,,2,971,832,654,78.6,21,,,51,,,0,423,14,,1,6,5
Will Hughes,Crystal Palace,eng ENG,MF,27,842,1,1,6,4,66.7,16.67,,,2,474,373,296,79.4,12,,,29,,,1,234,14,,3,6,0
Sam Johnstone,Crystal Palace,eng ENG,GK,9,810,0,0,0,0,,,,,1,298,280,207,73.9,0,,,3,,,0,188,0,,0,0,0
Jean-Philippe Mateta,Crystal Palace,fr FRA,FW,29,770,2,0,27,7,25.9,7.41,,,0,266,149,104,69.8,3,,,4,,,0,145,9,,5,1,1
Albert Sambi Lokonga,Crystal Palace,be BEL,MF,9,536,0,0,2,1,50.0,0.0,,,4,325,264,228,86.4,0,,,23,,,2,172,2,,0,0,0
Luka Milivojević,Crystal Palace,rs SRB,MF,18,512,0,0,7,0,0.0,0.0,,,1,321,260,207,79.6,6,,,17,,,0,162,2,,0,2,1
Chris Richards,Crystal Palace,us USA,DF,9,447,0,0,4,0,0.0,0.0,,,0,274,203,169,83.3,0,,,15,,,0,120,4,,0,0,0
James Tomkins,Crystal Palace,eng ENG,DF,6,338,1,0,3,2,66.7,33.33,,,0,208,171,138,80.7,0,,,2,,,0,117,1,,0,0,0
Joseph Whitworth,Crystal Palace,eng ENG,GK,2,180,0,0,0,0,,,,,0,87,83,61,73.5,0,,,0,,,0,52,0,,0,0,0
Naouirou Ahamada,Crystal Palace,fr FRA,"MF,FW",8,94,0,0,3,0,0.0,0.0,,,0,63,46,37,80.4,2,,,3,,,0,32,1,,1,0,0
Jaïro Riedewald,Crystal Palace,nl NED,"DF,MF",6,64,0,0,1,0,0.0,0.0,,,0,54,45,34,75.6,0,,,2,,,0,23,1,,0,0,0
James McArthur,Crystal Palace,sct SCO,MF,4,54,0,0,0,0,,,,,0,60,52,41,78.8,0,,,0,,,1,36,0,,0,0,0
Malcolm Ebiowei,Crystal Palace,eng ENG,"MF,FW",3,34,0,0,0,0,,,,,0,21,10,5,50.0,3,,,0,,,0,14,2,,0,0,0
David Ozoh,Crystal Palace,eng ENG,FW,1,1,0,0,0,0,,,,,0,4,3,3,100.0,0,,,0,,,0,2,0,,0,0,0
James Tarkowski,Everton,eng ENG,DF,38,3420,1,1,32,9,28.1,3.12,,,7,2119,1633,1322,81.0,0,,,98,,,3,982,13,,1,3,0
Alex Iwobi,Everton,ng NGA,"MF,FW",38,3378,2,7,42,15,35.7,4.76,,,9,1912,1536,1154,75.1,104,,,134,,,14,1169,90,,15,63,17
Jordan Pickford,Everton,eng ENG,GK,37,3330,0,1,0,0,,,,,5,1413,1312,749,57.1,0,,,57,,,1,732,0,,0,1,0
Vitaliy Mykolenko,Everton,ua UKR,DF,34,2655,0,0,10,3,30.0,0.0,,,8,1625,1292,966,74.8,57,,,84,,,1,701,31,,7,21,11
Idrissa Gana Gueye,Everton,sn SEN,MF,33,2577,0,1,15,6,40.0,0.0,,,4,1563,1226,1025,83.6,10,,,111,,,1,821,27,,3,5,0
Demarai Gray,Everton,jm JAM,"FW,MF",33,2507,4,1,57,22,38.6,7.02,,,0,1181,838,579,69.1,173,,,30,,,2,720,94,,48,18,7
Dwight McNeil,Everton,eng ENG,"FW,MF",36,2498,7,3,46,15,32.6,15.22,,,7,1358,987,656,66.5,194,,,45,,,3,738,76,,16,27,14
Amadou Onana,Everton,be BEL,MF,33,2488,1,2,34,6,17.6,2.94,,,4,1310,980,816,83.3,5,,,77,,,5,684,27,,4,11,0
Conor Coady,Everton,eng ENG,DF,24,2096,1,1,4,2,50.0,25.0,,,5,1363,1209,1025,84.8,1,,,73,,,1,882,4,,0,3,1
Séamus Coleman,Everton,ie IRL,DF,23,1656,1,0,7,2,28.6,14.29,,,0,990,789,597,75.7,22,,,35,,,0,457,13,,3,18,7
Abdoulaye Doucouré,Everton,ml MLI,MF,25,1533,5,2,20,8,40.0,25.0,,,2,713,548,430,78.5,8,,,29,,,1,371,23,,7,10,0
Nathan Patterson,Everton,sct SCO,"DF,MF",19,1279,0,0,8,1,12.5,0.0,,,1,836,649,488,75.2,39,,,21,,,1,349,16,,3,10,4
Dominic Calvert-Lewin,Everton,eng ENG,FW,17,1165,2,1,30,9,30.0,6.67,,,0,376,221,131,59.3,6,,,13,,,0,186,18,,10,4,0
Neal Maupay,Everton,fr FRA,FW,27,1118,1,0,32,13,40.6,3.12,,,1,387,253,190,75.1,3,,,8,,,0,219,8,,3,2,0
Anthony Gordon,Everton,eng ENG,FW,16,1095,3,0,26,16,61.5,11.54,,,1,464,280,193,68.9,25,,,8,,,1,252,28,,13,11,2
Michael Keane,Everton,eng ENG,DF,12,985,1,2,14,4,28.6,7.14,,,3,565,441,305,69.2,4,,,33,,,0,257,2,,0,2,0
James Garner,Everton,eng ENG,"MF,DF",16,804,0,1,9,3,33.3,0.0,,,2,441,353,256,72.5,37,,,22,,,0,216,8,,1,6,2
Ben Godfrey,Everton,eng ENG,DF,13,802,0,1,6,0,0.0,0.0,,,1,391,281,182,64.8,7,,,24,,,0,162,9,,0,1,1
Yerry Mina,Everton,co COL,DF,7,594,2,0,8,4,50.0,25.0,,,1,402,325,286,88.0,1,,,15,,,0,217,1,,1,1,0
Tom Davies,Everton,eng ENG,MF,19,538,0,0,9,2,22.2,0.0,,,1,309,234,173,73.9,2,,,25,,,3,150,2,,0,2,0
Mason Holgate,Everton,jm JAM,DF,8,507,0,0,4,0,0.0,0.0,,,2,286,217,143,65.9,2,,,12,,,1,100,4,,0,3,1
Ellis Simms,Everton,eng ENG,FW,11,228,1,0,8,1,12.5,12.5,,,0,84,62,38,61.3,1,,,3,,,1,37,2,,2,1,0
Salomón Rondón,Everton,ve VEN,FW,7,109,0,0,4,1,25.0,0.0,,,0,36,29,22,75.9,0,,,2,,,0,16,0,,0,1,0
Asmir Begović,Everton,ba BIH,GK,1,90,0,0,0,0,,,,,0,33,30,21,70.0,0,,,0,,,0,19,0,,0,0,0
Dele Alli,Everton,eng ENG,MF,2,40,0,0,0,0,,,,,0,20,15,12,80.0,0,,,2,,,0,11,0,,0,0,0
Isaac Price,Everton,nir NIR,MF,1,33,0,0,0,0,,,,,0,17,14,12,85.7,1,,,1,,,0,10,1,,0,0,0
Rúben Vinagre,Everton,pt POR,"DF,MF",2,26,0,0,0,0,,,,,0,31,24,15,62.5,2,,,2,,,0,15,2,,0,0,0
Thomas Cannon,Everton,ie IRL,FW,2,25,0,0,1,1,100.0,0.0,,,0,8,5,4,80.0,0,,,0,,,0,6,1,,0,0,0
Bernd Leno,Fulham,de GER,GK,36,3240,0,0,0,0,,,,,2,1499,1397,1110,79.5,0,,,11,,,0,857,0,,0,0,0
João Palhinha,Fulham,pt POR,MF,35,3108,3,0,39,9,23.1,7.69,,,4,1713,1274,1051,82.5,3,,,118,,,0,763,8,,3,3,0
Antonee Robinson,Fulham,us USA,DF,35,3088,0,1,3,0,0.0,0.0,,,1,2260,1910,1404,73.5,134,,,104,,,0,1174,113,,10,42,25
Tim Ream,Fulham,us USA,DF,33,2897,1,0,3,2,66.7,33.33,,,5,2193,1922,1662,86.5,4,,,148,,,0,1364,28,,0,0,0
Harrison Reed,Fulham,eng ENG,MF,37,2866,3,4,20,7,35.0,15.0,,,5,1585,1281,988,77.1,54,,,82,,,0,765,30,,4,29,11
Andreas Pereira,Fulham,br BRA,MF,33,2692,4,6,61,22,36.1,6.56,,,11,1312,1068,701,65.6,196,,,86,,,1,722,53,,9,22,9
Kenny Tete,Fulham,nl NED,DF,31,2569,1,5,13,5,38.5,7.69,,,10,1896,1530,1110,72.5,99,,,75,,,1,821,75,,4,25,18
Bobby De Cordova-Reid,Fulham,jm JAM,"FW,DF",36,2475,4,1,31,10,32.3,12.9,,,4,1191,907,636,70.1,53,,,36,,,1,649,46,,11,38,10
Willian,Fulham,br BRA,FW,27,2126,5,5,41,17,41.5,12.2,,,3,1121,912,712,78.1,60,,,41,,,4,749,97,,29,30,1
Tosin Adarabioyo,Fulham,eng ENG,DF,25,2085,1,0,16,4,25.0,6.25,,,7,1545,1300,1066,82.0,2,,,96,,,2,834,16,,1,7,0
Issa Diop,Fulham,fr FRA,DF,25,2012,1,0,3,2,66.7,33.33,,,1,1606,1399,1216,86.9,2,,,69,,,0,1026,13,,0,4,0
Aleksandar Mitrović,Fulham,rs SRB,FW,24,2008,14,1,85,27,31.8,16.47,,,0,814,496,299,60.3,4,,,26,,,4,451,24,,10,10,1
Carlos Vinícius,Fulham,br BRA,FW,28,1109,5,2,21,12,57.1,23.81,,,1,330,189,119,63.0,6,,,12,,,3,183,9,,6,5,1
Harry Wilson,Fulham,wls WAL,FW,29,1100,2,3,18,4,22.2,11.11,,,1,551,404,310,76.7,22,,,20,,,1,343,18,,8,13,1
Tom Cairney,Fulham,sct SCO,MF,33,988,2,0,21,2,9.5,9.52,,,2,872,750,632,84.3,37,,,70,,,2,573,34,,6,19,5
Neeskens Kebano,Fulham,cd COD,FW,17,764,0,3,9,2,22.2,0.0,,,0,321,212,155,73.1,24,,,2,,,0,200,39,,11,9,3
Daniel James,Fulham,wls WAL,FW,20,621,2,1,14,3,21.4,14.29,,,0,254,186,120,64.5,26,,,2,,,0,156,24,,8,8,3
Manor Solomon,Fulham,il ISR,FW,19,572,4,0,11,7,63.6,36.36,,,1,292,207,175,84.5,4,,,5,,,1,191,16,,2,8,1
Saša Lukić,Fulham,rs SRB,MF,12,412,0,0,5,1,20.0,0.0,,,0,253,218,192,88.1,2,,,20,,,0,146,8,,1,2,1
Cédric Soares,Fulham,pt POR,DF,6,198,0,0,2,0,0.0,0.0,,,2,213,186,143,76.9,24,,,13,,,0,120,4,,1,4,3
Marek Rodák,Fulham,sk SVK,GK,2,180,0,0,0,0,,,,,0,65,61,29,47.5,0,,,0,,,0,36,0,,0,0,0
Kevin Mbabu,Fulham,ch SUI,"DF,FW",6,144,0,1,0,0,,,,,0,114,94,68,72.3,7,,,4,,,0,57,4,,0,5,3
Layvin Kurzawa,Fulham,fr FRA,DF,3,135,0,0,0,0,,,,,0,64,41,28,68.3,2,,,1,,,0,29,1,,0,1,1
Jay Stansfield,Fulham,eng ENG,FW,3,87,0,0,2,0,0.0,0.0,,,0,35,23,9,39.1,3,,,0,,,0,13,2,,0,0,0
Shane Duffy,Fulham,ie IRL,"DF,FW",5,20,0,0,1,0,0.0,0.0,,,0,22,20,16,80.0,0,,,0,,,0,9,0,,0,0,0
Josh Onomah,Fulham,eng ENG,MF,2,15,0,0,0,0,,,,,0,11,6,4,66.7,0,,,0,,,0,5,1,,0,0,0
Luke Harris,Fulham,wls WAL,"MF,FW",3,13,0,0,0,0,,,,,0,14,14,13,92.9,1,,,1,,,0,9,0,,0,0,0
Nathaniel Chalobah,Fulham,eng ENG,MF,4,12,0,0,1,1,100.0,0.0,,,0,11,5,4,80.0,0,,,1,,,0,6,0,,0,0,0
Tyrese Francois,Fulham,au AUS,FW,1,1,0,0,0,0,,,,,0,5,2,2,100.0,0,,,1,,,0,1,0,,0,0,0
Robin Koch,Leeds United,de GER,DF,36,3175,0,0,17,4,23.5,0.0,,,4,1963,1594,1229,77.1,1,,,121,,,2,1013,11,,0,7,0
Illan Meslier,Leeds United,fr FRA,GK,34,3060,0,0,1,1,100.0,0.0,,,3,1122,1039,664,63.9,0,,,13,,,0,596,0,,0,1,0
Jack Harrison,Leeds United,eng ENG,"FW,MF",36,2708,5,7,39,14,35.9,12.82,,,7,1556,1150,732,63.7,186,,,57,,,4,959,103,,24,51,21
Brenden Aaronson,Leeds United,us USA,"MF,FW",36,2372,1,3,41,9,22.0,2.44,,,1,1143,797,592,74.3,72,,,47,,,8,687,43,,13,16,4
Marc Roca,Leeds United,es ESP,MF,32,2315,1,2,35,13,37.1,2.86,,,5,1571,1295,978,75.5,76,,,157,,,7,822,25,,6,17,2
Pascal Struijk,Leeds United,nl NED,DF,29,2200,2,1,16,7,43.8,12.5,,,5,1619,1320,1046,79.2,21,,,90,,,0,700,24,,1,13,4
Tyler Adams,Leeds United,us USA,MF,24,2156,0,0,4,0,0.0,0.0,,,0,1628,1343,1108,82.5,2,,,110,,,1,819,19,,0,13,0
Luke Ayling,Leeds United,eng ENG,DF,29,2054,2,1,24,5,20.8,8.33,,,8,1413,1132,786,69.4,62,,,61,,,0,648,28,,4,18,10
Rasmus Kristensen,Leeds United,dk DEN,DF,26,1960,3,1,13,5,38.5,23.08,,,2,1276,1044,740,70.9,35,,,63,,,0,547,15,,4,16,2
Rodrigo,Leeds United,es ESP,"FW,MF",31,1935,13,1,66,25,37.9,19.7,,,5,804,550,389,70.7,21,,,23,,,4,451,40,,24,17,5
Patrick Bamford,Leeds United,eng ENG,FW,28,1515,4,2,48,16,33.3,8.33,,,1,550,333,229,68.8,5,,,18,,,1,290,17,,13,9,0
Weston McKennie,Leeds United,us USA,MF,19,1437,0,1,13,2,15.4,0.0,,,3,807,628,472,75.2,9,,,50,,,4,400,14,,0,15,3
Liam Cooper,Leeds United,sct SCO,DF,18,1426,1,0,10,2,20.0,10.0,,,0,970,789,620,78.6,1,,,49,,,0,477,3,,1,1,1
Crysencio Summerville,Leeds United,nl NED,FW,28,1426,4,2,29,9,31.0,13.79,,,3,637,411,308,74.9,14,,,20,,,1,420,51,,19,12,2
Junior Firpo,Leeds United,do DOM,DF,19,1368,1,1,2,1,50.0,50.0,,,2,792,621,454,73.1,12,,,38,,,1,352,20,,1,9,4
Wilfried Gnonto,Leeds United,it ITA,"FW,MF",24,1354,2,4,22,8,36.4,9.09,,,4,719,512,370,72.3,42,,,12,,,4,484,66,,17,19,5
Maximilian Wöber,Leeds United,at AUT,DF,16,1266,0,0,9,2,22.2,0.0,,,3,858,684,483,70.6,7,,,63,,,0,426,15,,0,3,2
Luis Sinisterra,Leeds United,co COL,FW,19,867,5,0,28,11,39.3,17.86,,,0,469,339,273,80.5,7,,,18,,,2,281,30,,8,17,2
Diego Llorente,Leeds United,es ESP,DF,8,649,0,0,6,0,0.0,0.0,,,1,506,429,356,83.0,1,,,17,,,0,303,2,,0,0,0
Adam Forshaw,Leeds United,eng ENG,MF,12,479,0,0,1,0,0.0,0.0,,,0,293,244,196,80.3,20,,,30,,,0,179,4,,0,4,2
Sam Greenwood,Leeds United,eng ENG,"MF,FW",18,424,1,2,12,2,16.7,8.33,,,0,255,186,107,57.5,43,,,14,,,0,117,7,,1,1,0
Joel Robles,Leeds United,es ESP,GK,4,360,0,0,0,0,,,,,0,136,122,63,51.6,0,,,2,,,0,57,0,,0,0,0
Mateusz Klich,Leeds United,pl POL,"MF,FW",14,280,0,0,4,1,25.0,0.0,,,0,189,148,108,73.0,8,,,6,,,0,110,5,,2,5,0
Georginio Rutter,Leeds United,fr FRA,"FW,MF",11,273,0,1,4,0,0.0,0.0,,,1,124,62,31,50.0,0,,,1,,,1,76,5,,3,2,0
Joe Gelhardt,Leeds United,eng ENG,FW,15,212,0,2,10,2,20.0,0.0,,,2,115,67,43,64.2,1,,,3,,,1,68,2,,2,1,0
Daniel James,Leeds United,wls WAL,FW,4,198,0,0,3,1,33.3,0.0,,,0,66,40,24,60.0,6,,,1,,,0,35,6,,3,3,1
Cody Drameh,Leeds United,eng ENG,DF,1,69,0,0,0,0,,,,,0,44,38,30,78.9,1,,,2,,,0,17,0,,0,0,0
Mateo Joseph,Leeds United,es ESP,"FW,MF",3,26,0,0,1,1,100.0,0.0,,,0,9,3,2,66.7,0,,,0,,,0,5,0,,0,0,0
Darko Gyabi,Leeds United,eng ENG,FW,1,8,0,0,1,0,0.0,0.0,,,0,8,4,4,100.0,0,,,0,,,0,4,0,,0,0,0
Timothy Castagne,Leicester City,be BEL,DF,37,3254,2,3,19,5,26.3,10.53,,,4,2237,1836,1470,80.1,58,,,89,,,3,989,39,,5,20,10
Wout Faes,Leicester City,be BEL,DF,31,2786,1,2,13,3,23.1,7.69,,,3,2177,1846,1581,85.6,0,,,70,,,2,1262,11,,0,5,0
Harvey Barnes,Leicester City,eng ENG,"FW,MF",34,2711,13,1,72,34,47.2,18.06,,,7,1143,786,549,69.8,44,,,39,,,5,734,100,,48,31,5
James Maddison,Leicester City,eng ENG,"MF,FW",30,2480,10,9,83,27,32.5,12.05,,,10,1447,1150,844,73.4,123,,,117,,,13,964,77,,31,27,4
Youri Tielemans,Leicester City,be BEL,MF,31,2344,3,2,29,8,27.6,10.34,,,6,1877,1623,1303,80.3,45,,,169,,,12,952,35,,1,28,7
Danny Ward,Leicester City,wls WAL,GK,26,2340,0,0,0,0,,,,,5,1000,945,708,74.9,0,,,7,,,0,559,0,,0,0,0
Kiernan Dewsbury-Hall,Leicester City,eng ENG,MF,31,2306,2,2,26,6,23.1,7.69,,,10,1490,1154,872,75.6,46,,,111,,,9,903,68,,16,23,4
Jamie Vardy,Leicester City,eng ENG,FW,37,1857,3,4,27,13,48.1,11.11,,,1,437,263,137,52.1,7,,,7,,,3,192,16,,13,5,1
Wilfred Ndidi,Leicester City,ng NGA,MF,27,1679,0,0,7,2,28.6,0.0,,,0,1129,899,754,83.9,2,,,49,,,1,564,11,,0,0,0
Boubakary Soumaré,Leicester City,fr FRA,MF,26,1629,0,0,1,0,0.0,0.0,,,0,1091,902,776,86.0,2,,,80,,,2,588,17,,0,5,1
Daniel Amartey,Leicester City,gh GHA,DF,20,1610,0,0,6,2,33.3,0.0,,,2,1279,1114,1015,91.1,0,,,58,,,2,779,23,,0,1,0
James Justin,Leicester City,eng ENG,DF,14,1252,0,0,5,0,0.0,0.0,,,2,980,819,667,81.4,21,,,48,,,0,417,20,,4,12,7
Patson Daka,Leicester City,zm ZAM,FW,30,1187,4,4,30,16,53.3,13.33,,,2,444,295,195,66.1,8,,,7,,,5,207,18,,11,8,1
Kelechi Iheanacho,Leicester City,ng NGA,"FW,MF",28,1127,5,5,38,13,34.2,13.16,,,3,464,316,236,74.7,6,,,21,,,4,293,33,,18,8,0
Daniel Iversen,Leicester City,dk DEN,GK,12,1080,0,0,0,0,,,,,2,411,377,212,56.2,0,,,6,,,0,177,0,,0,0,0
Luke Thomas,Leicester City,eng ENG,DF,17,1073,0,0,3,0,0.0,0.0,,,2,786,654,521,79.7,9,,,38,,,3,355,10,,1,7,2
Jonny Evans,Leicester City,nir NIR,DF,13,1051,0,0,1,1,100.0,0.0,,,1,906,789,690,87.5,0,,,43,,,0,529,6,,0,2,0
Harry Souttar,Leicester City,au AUS,DF,12,992,0,1,8,1,12.5,0.0,,,5,663,555,448,80.7,0,,,39,,,1,390,6,,1,1,0
Victor Bernth Kristiansen,Leicester City,dk DEN,DF,12,892,0,1,3,0,0.0,0.0,,,3,607,496,327,65.9,29,,,29,,,1,278,17,,0,4,3
Nampalys Mendy,Leicester City,sn SEN,MF,19,757,1,0,2,1,50.0,50.0,,,2,490,413,362,87.7,1,,,20,,,1,283,2,,0,3,0
Tetê,Leicester City,br BRA,FW,13,734,1,0,15,1,6.7,6.67,,,3,350,258,186,72.1,19,,,16,,,1,212,22,,15,4,1
Dennis Praet,Leicester City,be BEL,"MF,FW",22,649,1,0,5,2,40.0,20.0,,,2,342,270,200,74.1,15,,,10,,,2,177,15,,1,5,1
Çağlar Söyüncü,Leicester City,tr TUR,DF,7,529,1,0,5,2,40.0,20.0,,,3,382,309,241,78.0,0,,,9,,,0,185,5,,0,0,0
Ricardo Pereira,Leicester City,pt POR,"DF,MF",10,454,1,1,2,1,50.0,50.0,,,2,383,322,252,78.3,16,,,25,,,0,174,5,,2,10,3
Ayoze Pérez,Leicester City,es ESP,"MF,FW",8,382,0,1,8,2,25.0,0.0,,,1,244,171,118,69.0,17,,,13,,,5,132,17,,6,6,0
Marc Albrighton,Leicester City,eng ENG,"FW,MF",6,237,1,0,2,1,50.0,50.0,,,1,173,148,89,60.1,28,,,6,,,1,83,4,,0,5,2
Wesley Fofana,Leicester City,fr FRA,DF,2,180,0,0,2,1,50.0,0.0,,,1,169,140,117,83.6,0,,,16,,,0,116,3,,2,0,0
Lewis Brunt,Leicester City,eng ENG,DF,1,23,0,0,0,0,,,,,0,23,21,17,81.0,0,,,0,,,0,9,0,,0,0,0
Alisson,Liverpool,br BRA,GK,37,3330,0,1,0,0,,,,,4,1536,1453,1241,85.4,0,,,16,,,0,985,0,,0,0,0
Mohamed Salah,Liverpool,eg EGY,FW,38,3290,19,12,121,45,37.2,15.7,,,10,1634,1185,902,76.1,38,,,53,,,14,1108,120,,87,80,7
Trent Alexander-Arnold,Liverpool,eng ENG,DF,37,2923,2,9,40,8,20.0,5.0,,,10,3180,2912,2188,75.1,252,,,239,,,26,1778,43,,8,82,28
Virgil van Dijk,Liverpool,nl NED,DF,32,2835,3,1,30,9,30.0,10.0,,,1,2876,2592,2345,90.5,1,,,156,,,1,1760,10,,2,6,0
Fabinho,Liverpool,br BRA,MF,36,2671,0,2,18,4,22.2,0.0,,,5,2092,1832,1617,88.3,5,,,131,,,5,1184,15,,1,17,0
Andrew Robertson,Liverpool,sct SCO,DF,34,2583,0,8,13,2,15.4,0.0,,,7,2483,2265,1803,79.6,195,,,121,,,2,1385,80,,10,33,14
Jordan Henderson,Liverpool,eng ENG,MF,35,2074,0,2,23,5,21.7,0.0,,,8,1782,1615,1341,83.0,45,,,158,,,9,1060,37,,1,47,12
Darwin Núñez,Liverpool,uy URU,FW,29,1695,9,3,84,35,41.7,10.71,,,4,633,401,258,64.3,18,,,11,,,2,387,61,,31,12,1
Harvey Elliott,Liverpool,eng ENG,"MF,FW",32,1613,1,2,36,12,33.3,2.78,,,8,1194,1009,809,80.2,34,,,68,,,8,759,54,,10,41,6
Ibrahima Konaté,Liverpool,fr FRA,DF,18,1552,0,0,11,3,27.3,0.0,,,1,1317,1135,988,87.0,1,,,56,,,2,830,7,,0,2,0
Joe Gomez,Liverpool,eng ENG,DF,21,1466,0,0,6,2,33.3,0.0,,,6,1521,1361,1166,85.7,4,,,121,,,2,1005,15,,0,4,0
Cody Gakpo,Liverpool,nl NED,"FW,MF",21,1458,7,2,39,12,30.8,17.95,,,2,591,392,293,74.7,17,,,33,,,3,374,36,,12,11,1
Thiago Alcántara,Liverpool,es ESP,MF,18,1254,0,0,10,1,10.0,0.0,,,3,1251,1097,946,86.2,3,,,110,,,8,718,13,,0,20,1
Roberto Firmino,Liverpool,br BRA,"FW,MF",25,1213,11,4,39,25,64.1,28.21,,,2,735,566,444,78.4,12,,,47,,,8,423,16,,7,19,1
Diogo Jota,Liverpool,pt POR,FW,22,1131,7,4,35,11,31.4,20.0,,,0,550,381,286,75.1,8,,,28,,,3,339,34,,14,8,2
Joël Matip,Liverpool,cm CMR,DF,14,1092,1,0,5,3,60.0,20.0,,,1,1004,885,766,86.6,1,,,53,,,0,657,28,,1,7,0
Curtis Jones,Liverpool,eng ENG,MF,18,1035,3,1,15,5,33.3,20.0,,,1,821,677,611,90.3,9,,,53,,,5,550,31,,11,14,1
Luis Díaz,Liverpool,co COL,FW,17,996,4,2,27,8,29.6,14.81,,,2,618,462,376,81.4,8,,,25,,,0,440,39,,22,13,1
James Milner,Liverpool,eng ENG,"MF,DF",31,913,0,1,7,1,14.3,0.0,,,3,848,727,563,77.4,52,,,61,,,2,447,21,,5,15,5
Kostas Tsimikas,Liverpool,gr GRE,DF,20,771,0,4,7,2,28.6,0.0,,,2,713,618,474,76.7,85,,,20,,,1,355,23,,5,7,4
Stefan Bajcetic,Liverpool,es ESP,MF,11,526,1,0,6,3,50.0,16.67,,,0,324,258,200,77.5,5,,,17,,,0,175,10,,0,7,1
Fabio Carvalho,Liverpool,pt POR,"MF,FW",13,347,2,0,11,4,36.4,18.18,,,1,193,143,117,81.8,2,,,7,,,0,122,9,,2,2,0
Alex Oxlade-Chamberlain,Liverpool,eng ENG,"FW,MF",9,335,1,0,7,3,42.9,14.29,,,2,152,106,75,70.8,2,,,8,,,2,90,11,,3,2,0
Naby Keïta,Liverpool,gn GUI,MF,8,293,0,0,10,0,0.0,0.0,,,1,206,168,129,76.8,2,,,15,,,0,111,5,,0,2,0
Caoimhín Kelleher,Liverpool,ie IRL,GK,1,90,0,0,0,0,,,,,0,26,24,23,95.8,0,,,1,,,0,18,0,,0,0,0
Nathaniel Phillips,Liverpool,eng ENG,DF,2,66,0,0,1,0,0.0,0.0,,,0,89,82,71,86.6,0,,,7,,,0,69,0,,0,0,0
Ben Gannon-Doak,Liverpool,sct SCO,FW,2,26,0,0,0,0,,,,,0,22,14,10,71.4,0,,,0,,,0,16,1,,2,0,0
Bobby Clark,Liverpool,eng ENG,MF,1,8,0,0,0,0,,,,,0,7,1,1,100.0,0,,,0,,,0,3,0,,0,1,0
Ederson,Manchester City,br BRA,GK,35,3150,0,1,0,0,,,,,1,1302,1257,1079,85.8,0,,,13,,,1,869,0,,0,0,0
Rodri,Manchester City,es ESP,MF,36,2911,2,6,50,14,28.0,4.0,,,1,3272,2987,2723,91.2,6,,,265,,,2,2004,76,,3,33,3
Erling Haaland,Manchester City,no NOR,FW,35,2769,36,8,116,53,45.7,31.03,,,6,763,500,360,72.0,12,,,14,,,4,405,35,,25,23,0
Kevin De Bruyne,Manchester City,be BEL,MF,32,2417,7,16,65,21,32.3,10.77,,,12,1860,1626,1192,73.3,226,,,124,,,28,1129,100,,16,96,21
